Species.ID,bhvr,PreyVolume,PreyDepth,Dive_Time,Surfacetime,Blow.Interval,Blow_number_count,YEAR,Month,Day,sit
FW,OTHER,8.047248888,60.71,348.5,75.5,14.077,6,15,6,21,Sighting 205
HW,OTHER,4.292781401,112.98,NA,NA,62,NA,2014,8,24,Sighting 105
HW,OTHER,4.534893634,126.97,NA,333,46.286,8,15,8,5,Sighting 407
HW,OTHER,4.85803408,57.78,235,121.5,26.556,5.5,15,9,14,Sighting 509
FW,OTHER,1.081126974,76.01,100,83,35,2,2014,8,24,Sighting 110
HW,OTHER,4.658406641,75.3,144,19,14,2,15,9,20,Sighting 509
HW,OTHER,-1,NA,NA,NA,NA,NA,15,8,6,Sighting 403
HW,FEED,5.344889358,96,389,66,13.5,8.5,2014,9,2,Sighting 210
HW,OTHER,2.476025664,117.17,368,136,31.455,4.667,2014,9,4,Sighting 201
HW,FEED,7.322583813,125.18,NA,122,NA,NA,15,9,2,Sighting 514
FW,FEED,6.747812323,151.09,482.75,181.25,18.389,11.25,15,7,29,Sighting 307
HW,OTHER,NA,NA,NA,NA,43.857,NA,2014,8,25,Sighting 107
FW,FEED,NA,NA,398,267,32.357,9,2014,9,11,Sighting 205
FW,FEED,7.660422236,107.92,486.125,133.041,19.609,7.534,15,6,10,Sighting 107
finderbender,FEED,6.654978081,131.13,422.667,105.667,18.37,7,15,9,11,Sighting 503
HW,OTHER,5.182134612,31.97,NA,83,15,6,15,6,23,Sighting 201
HW,OTHER,NA,NA,NA,NA,31,6,15,7,7,Sighting 207
HW,FEED,7.651257351,89.65,242.5,112,18.364,7,15,8,3,Sighting 403
FW,OTHER,3.878104212,139.74,257,175,14.25,13,2014,8,24,Sighting 112
HW,FEED,4.783335618,165.91,397.5,221.5,18.375,13,15,9,14,Sighting 511
humperdink,OTHER,5.126891238,140.34,114,NA,33,NA,2014,8,24,Sighting 121
HW,OTHER,7.635029646,80.43,454,NA,12.889,NA,2014,8,12,Sighting 102
HW,OTHER,NA,NA,252,35.333,18,2.333,2014,9,10,Sighting 203
HW,FEED,NA,NA,291.333,127,16.362,8.333,15,7,25,Sighting 307
HW,FEED,5.074643675,118.86,159.5,168,34.125,5.5,15,7,29,Sighting 311
HW,OTHER,2.724231902,125.35,NA,NA,30.909,NA,15,7,23,Sighting 306
HW,FEED,6.528043148,91.68,341,112.333,17.889,7,15,9,14,Sighting 501
HW,FEED,7.197270071,86.4,376.5,110.75,15.478,7.75,15,9,4,Sighting 505
HW,OTHER,NA,NA,NA,NA,NA,NA,15,7,25,Sighting 306
HW,OTHER,1.47345781,111.73,NA,94,43.25,3,15,8,15,Sighting 409
HW,OTHER,NA,NA,311,41,16,4,15,8,20,Sighting 411
HW,FEED,6.087833711,95.1,399.5,114.5,15.444,14,2014,8,14,Sighting 101
HW,FEED,2.534442568,218.23,255,76,21.1,4.333,15,7,1,Sighting 201
HW,FEED,7.597152437,90.02,221,2.667,NA,1,2014,9,6,Sighting 203
HW,OTHER,3.196090193,99.3,474,NA,41,NA,15,8,5,Sighting 413
HW,OTHER,4.60329543,163.74,173,NA,67,NA,15,8,31,Sighting 504
HW,OTHER,3.960253013,131.29,190,89,26.667,4,15,8,19,Sighting 413
HW,OTHER,3.867220181,129.25,260.5,31,21,2,15,7,23,Sighting 307
HW,FEED,3.232968061,34.08,69,NA,6.5,NA,2014,9,10,Sighting 219
HW,FEED,7.90812172,128.83,455,381.5,23.084,17,15,8,2,Sighting 409
HW,FEED,7.416648617,121.55,NA,231,NA,NA,15,9,2,Sighting 511
FW,FEED,5.022170507,118.51,395,221,NA,NA,2014,8,12,Sighting 141
HW,FEED,7.257606544,65.94,446.5,90.75,18.474,5.75,15,6,13,Sighting 107
HW,FEED,4.889785812,156.16,419.5,201,21.091,13,15,7,1,Sighting 202
HW,OTHER,6.356473913,123.95,284,NA,NA,NA,2014,8,12,Sighting 130
HW,FEED,6.087833711,95.1,399.5,114.5,15.444,14,2014,8,14,Sighting 101
FW,OTHER,1.868782237,92.08,444.5,77,21.375,4,15,8,18,Sighting 403
HW,FEED,5.601229496,74.16,328,79.5,13.334,6.5,15,6,12,Sighting 101
HW,OTHER,3.19644615,114.5,243,18,NA,1,15,6,24,Sighting 201
HW,OTHER,NA,NA,NA,NA,48.875,NA,2014,9,11,Sighting 209
HW,FEED,NA,NA,449.5,135,25.416,6,2014,9,7,Sighting 205
HW,FEED,7.361865144,53.79,136.959,27.062,12.225,2.688,15,6,13,Sighting 108
HW,FEED,-1,NA,486,266,18.615,16,2014,8,12,Sighting 116
FW,FEED,NA,NA,NA,237,58.75,5,2014,8,22,Sighting 102
finderbender,FEED,6.654978081,131.13,422.667,105.667,18.37,7,15,9,11,Sighting 503
HW,FEED,7.512667188,120.06,196.5,NA,NA,NA,15,9,2,Sighting 512
FW,FEED,NA,NA,189.5,53,16.333,4,2014,8,22,Sighting 107
FW,FEED,6.557206674,162.26,549.833,171.333,17.829,10.4,15,6,27,Sighting 212
HW,FEED,6.297542007,136.63,204,58,30.666,2.25,15,7,7,Sighting 215
FW,FEED,NA,NA,NA,67,36.5,2,2014,8,22,Sighting 103
HW,OTHER,7.567751592,67.5,NA,136,14.429,10,15,6,10,Sighting 118
HW,OTHER,6.62435111,71.27,NA,63,18.5,3,15,5,30,Sighting 112
HW,FEED,7.597152437,90.02,221,2.667,NA,1,2014,9,6,Sighting 203
FW,FEED,NA,NA,321,100,19,6,2014,9,10,Sighting 202
HW,OTHER,4.963004757,96.88,579,163,110,2,15,5,30,Sighting 114
HW,FEED,6.087833711,95.1,429,143.5,14.944,10.5,2014,8,14,Sighting 102
HW,OTHER,1.780057939,125.63,253,105.5,31.333,4,15,9,5,Sighting 511
HW,OTHER,7.369601666,93.22,271.666,51.667,25.334,3,2014,9,10,Sighting 211
FW,FEED,7.660422236,107.92,486.125,133.041,19.609,7.534,15,6,10,Sighting 107
HW,FEED,8.255199372,83.34,203,93,19.667,5,2014,8,31,Sighting 102
finderbender,FEED,6.654978081,131.13,422.667,105.667,18.37,7,15,9,11,Sighting 503
HW,OTHER,-1,NA,176,40.333,18.8,2.667,15,7,21,Sighting 311
HW,OTHER,2.615744836,NA,337,NA,NA,NA,2014,8,25,Sighting 103
HW,OTHER,6.826566048,118.82,NA,196,62.333,4,2014,9,3,Sighting 204
HW,FEED,-1,NA,216,125,21.636,6.5,15,7,8,Sighting 203
HW,FEED,-1,NA,118.041,24.666,20.334,2,15,8,3,Sighting 401
HW,OTHER,-1,NA,NA,NA,NA,NA,15,8,6,Sighting 403
HW,OTHER,1.753139909,87.78,287,64,32,3,2014,9,2,Sighting 203
HW,OTHER,2.756624469,99.81,307.5,71,27.25,2.5,15,8,8,Sighting 407
HW,OTHER,-1,NA,NA,NA,57,NA,15,7,21,Sighting 304
HW,OTHER,-0.248717802,NA,NA,139,21,7,15,8,31,Sighting 501
HW,FEED,7.823818505,63.09,75.25,31,24,2,2014,8,19,Sighting 115
HW,FEED,4.276425812,161.9,421,NA,19.857,NA,15,8,31,Sighting 505
HW,OTHER,6.426867027,124.15,384,99.75,25.875,4.25,2014,8,31,Sighting 107
HW,FEED,6.945265877,114.19,372,108,13.714,9,2014,9,7,Sighting 212
HW,FEED,4.842002024,82.11,334,106,19.667,6.5,2014,8,25,Sighting 109
HW,FEED,5.63062523,92.88,216,93.333,23.818,4.667,15,5,28,Sighting 101
FW,OTHER,3.059134212,115.6,604.5,170,20.222,9,2014,9,3,Sighting 206
HW,FEED,-1,NA,486,266,18.615,16,2014,8,12,Sighting 116
HW,FEED,8.48796432,74.27,355,99.5,13.133,8.5,15,6,21,Sighting 210
HW,OTHER,NA,NA,252,35.333,18,2.333,2014,9,10,Sighting 203
HW,OTHER,NA,NA,NA,NA,22.8,NA,2014,8,17,Sighting 102
HW,FEED,7.257606544,65.94,446.5,90.75,18.474,5.75,15,6,13,Sighting 107
HW,OTHER,2.12639669,100.89,NA,NA,NA,NA,15,6,24,Sighting 202
HW,OTHER,NA,NA,197.5,34,16.75,2.333,2014,8,27,Sighting 116
HW,FEED,8.326912589,130.01,NA,174,27.806,9,15,8,2,Sighting 410
HW,OTHER,NA,NA,NA,62,13.625,5,2014,8,27,Sighting 128
HW,FEED,7.257606544,65.94,446.5,90.75,18.474,5.75,15,6,13,Sighting 107
HW,FEED,6.528043148,91.68,341,112.333,17.889,7,15,9,14,Sighting 501
FW,FEED,5.35374687,140.97,NA,NA,27,NA,15,7,13,Sighting 305
FW,OTHER,2.731252272,128.55,491,205,23.6,10,2014,8,27,Sighting 111
FW,OTHER,2.302965021,78.28,333,NA,27.143,NA,15,7,26,Sighting 311
HW,FEED,7.322583813,125.18,NA,122,NA,NA,15,9,2,Sighting 514
HW,FEED,2.161551342,169.02,371,76,40.333,2,2014,8,27,Sighting 101
HW,FEED,7.322583813,125.18,NA,122,NA,NA,15,9,2,Sighting 514
HW,FEED,NA,NA,449.5,135,25.416,6,2014,9,7,Sighting 205
FW,FEED,7.86681427,95.04,367.5,119.667,15.455,7.5,15,6,21,Sighting 211
HW,FEED,6.84396613,125.72,558,278,21.68,13.5,15,7,4,Sighting 203
HW,FEED,7.545089387,85.84,267.75,147.833,18.219,8.6,15,6,10,Sighting 106
HW,OTHER,3.867220181,129.25,260.5,31,21,2,15,7,23,Sighting 307
HW,FEED,6.701414271,92.39,412.5,166.5,21.597,9,2014,8,19,Sighting 102
HW,OTHER,NA,NA,NA,62,13.625,5,2014,8,27,Sighting 128
HW,FEED,7.632234543,60.12,228,74,13,7,15,6,21,Sighting 208
HW,FEED,5.119453226,139.37,310,NA,NA,NA,15,7,7,Sighting 217
HW,FEED,7.655635501,108.91,NA,NA,17.667,NA,2014,8,12,Sighting 108
FW,FEED,5.808198945,105.05,412.875,149.8,15.927,10.2,15,7,29,Sighting 309
HW,FEED,4.23392243,134.41,476,179,17.846,12,15,9,3,Sighting 502
HW,OTHER,1.780057939,125.63,253,105.5,31.333,4,15,9,5,Sighting 511
HW,OTHER,6.426867027,124.15,384,99.75,25.875,4.25,2014,8,31,Sighting 107
finderbender,FEED,6.654978081,131.13,422.667,105.667,18.37,7,15,9,11,Sighting 503
HW,OTHER,3.444416501,156.91,NA,NA,31.333,8,2014,9,4,Sighting 204
HW,FEED,6.84396613,125.72,558,278,21.68,13.5,15,7,4,Sighting 203
HW,OTHER,5.90034958,121.97,NA,120,16.571,8,2014,8,23,Sighting 101
HW,OTHER,-1,NA,176,40.333,18.8,2.667,15,7,21,Sighting 311
HW,OTHER,7.276241415,78.99,NA,146,19.857,8,2014,8,28,Sighting 121
HW,OTHER,6.015181074,85.82,NA,55.5,12,5.5,2014,8,17,Sighting 101
HW,FEED,6.921984364,103.78,398.5,180.5,19.429,10.5,15,6,26,Sighting 202
HW,OTHER,5.71384666,116.04,109,87,43,1,2014,9,8,Sighting 202
FW,OTHER,4.98371278,119.44,123,82.5,27.167,4,2014,8,21,Sighting 102
HW,OTHER,3.066614692,155.19,501,269,19.444,14.5,15,7,18,Sighting 303
HW,FEED,7.361865144,53.79,136.959,27.062,12.225,2.688,15,6,13,Sighting 108
HW,FEED,6.087833711,95.1,429,143.5,14.944,10.5,2014,8,14,Sighting 102
HW,OTHER,7.971390645,96.93,294,94,22.5,5,15,5,28,Sighting 107
HW,OTHER,2.104134154,107.28,260,168,23.429,5,15,9,13,Sighting 502
HW,FEED,NA,NA,NA,NA,20.444,NA,2014,8,12,Sighting 111
HW,OTHER,2.953090917,90.55,354,NA,14.571,NA,2014,9,2,Sighting 209
HW,OTHER,7.665289688,137.18,156,76.5,35.715,3.5,15,8,2,Sighting 404
HW,FEED,4.276425812,161.9,421,NA,19.857,NA,15,8,31,Sighting 505
HW,OTHER,3.420225199,122.37,NA,NA,20.916,NA,2014,8,24,Sighting 126
HW,FEED,7.651257351,89.65,242.5,112,18.364,7,15,8,3,Sighting 403
HW,OTHER,3.420225199,122.37,NA,NA,20.916,NA,2014,8,24,Sighting 126
HW,OTHER,-1,NA,60,322.5,28.733,12,15,9,19,Sighting 502
HW,FEED,7.364615536,69.66,164.5,65.5,16.2,4.5,15,6,10,Sighting 116
HW,OTHER,6.783257022,76.05,NA,NA,39.5,NA,15,6,2,Sighting 110
HW,OTHER,NA,NA,NA,235,31.983,8,15,8,17,Sighting 416
HW,FEED,NA,NA,103,84,23.861,5,15,9,21,Sighting 501
HW,FEED,0.87887958,NA,197,121,29.5,5,15,7,14,Sighting 316
HW,OTHER,NA,NA,NA,NA,43.857,NA,2014,8,25,Sighting 107
HW,FEED,7.077287061,79.7,212.5,75,13,5,15,6,26,Sighting 203
HW,OTHER,4.478348802,121.42,NA,NA,37.737,NA,15,8,12,Sighting 416
HW,OTHER,4.252320773,112.72,NA,154,20.857,8,15,9,12,Sighting 513
HW,OTHER,7.543966486,88.08,NA,108,18.85,6,15,6,21,Sighting 204
HW,OTHER,-1,NA,80.75,14.75,40.8,1.25,15,6,17,Sighting 201
HW,OTHER,NA,NA,NA,NA,40.6,NA,15,7,7,Sighting 208
HW,OTHER,5.776347757,113.75,430,142.667,17.917,8.667,15,6,21,Sighting 216
FinW,FEED,3.820782334,125.51,408,182,18.789,11,2014,8,12,Sighting 140
HW,OTHER,4.611378872,118.61,NA,NA,36.95,NA,2014,8,12,Sighting 127
HW,FEED,7.854761658,79.02,281,87,14.412,6.667,2014,8,12,Sighting 104
HW,OTHER,-1,NA,401,NA,21.143,9,15,9,2,Sighting 506
HW,OTHER,7.125926489,97.34,NA,182,16,13,15,8,17,Sighting 417
HW,OTHER,4.747700467,117.19,146.5,139,23.209,6.5,15,8,12,Sighting 409
HW,FEED,8.258352641,64.93,332,111.667,13,9.333,15,6,21,Sighting 206
HW,FEED,5.667916927,128.22,NA,NA,32,NA,2014,8,28,Sighting 107
HW,FEED,4.191047711,79.75,351.5,113.167,24.167,4.833,15,8,15,Sighting 419
HW,OTHER,6.947309398,79.41,364,NA,18.5,NA,2014,8,20,Sighting 101
HW,OTHER,6.093103973,135.02,19,58,14.714,4.5,2014,8,19,Sighting 106
HW,OTHER,3.420225199,122.37,NA,NA,20.916,NA,2014,8,24,Sighting 126
HW,FEED,6.921984364,103.78,398.5,180.5,19.429,10.5,15,6,26,Sighting 202
HW,OTHER,-1,NA,NA,183,57.333,4,15,8,5,Sighting 402
hw,OTHER,0.939264795,NA,NA,NA,39.5,NA,15,9,2,Sighting 501
HW,FEED,3.422962135,112.36,318,256,NA,NA,2014,8,24,Sighting 118
HW,FEED,5.585304823,41.32,86,80.75,14,6.25,2014,8,25,Sighting 121
HW,OTHER,-0.071496002,NA,273,46,27.667,2.5,15,7,13,Sighting 310
FW,OTHER,1.748921555,167.75,NA,NA,20,NA,2014,8,27,Sighting 104
fw,OTHER,2.419950264,122.35,NA,NA,23.75,NA,2014,9,3,Sighting 211
FW,FEED,7.261732618,77.82,150,90.5,18.142,5.833,15,6,9,Sighting 105
HW,FEED,3.312868774,85.53,104.667,71.333,67.6,1.667,15,7,7,Sighting 205
HW,OTHER,5.962144896,157.73,506,NA,NA,NA,2014,9,9,Sighting 203
HW,FEED,NA,NA,NA,NA,17,NA,2014,8,25,Sighting 122
HW,OTHER,3.867220181,129.25,260.5,31,21,2,15,7,23,Sighting 307
HW,OTHER,6.826566048,118.82,NA,196,62.333,4,2014,9,3,Sighting 204
HW,FEED,7.364615536,69.66,164.5,65.5,16.2,4.5,15,6,10,Sighting 116
HW,OTHER,NA,NA,NA,62,13.625,5,2014,8,27,Sighting 128
HW,OTHER,6.64606072,88.59,NA,91,16.2,7,15,7,6,Sighting 201
HW,OTHER,-1,NA,188,99,33,4,15,6,17,Sighting 202
HW,FEED,5.344889358,96,389,66,13.5,8.5,2014,9,2,Sighting 210
HW,FEED,5.821849026,113.78,219,122.5,20.636,6.5,15,8,2,Sighting 408
HW,FEED,6.904394939,86.62,208.5,67.167,14.556,5.167,15,6,26,Sighting 206
HW,FEED,3.232968061,34.08,69,NA,6.5,NA,2014,9,10,Sighting 219
HW,FEED,3.708191765,88.34,643,88,17.2,6,15,8,16,Sighting 405
HW,FEED,6.319919013,77.81,316,42.667,10.8,4.333,15,6,9,Sighting 101
HW,FEED,-1,NA,272,124,27.6,5,15,7,7,Sighting 206
HW,FEED,3.914906843,49.02,247,122.125,29.318,4.5,2014,9,5,Sighting 202
HW,FEED,NA,NA,441.667,106.333,13.773,8.667,15,6,10,Sighting 111
HW,OTHER,4.742161337,116.67,448,112,21.6,6,2014,9,2,Sighting 212
HW,OTHER,4.658406641,75.3,144,19,14,2,15,9,20,Sighting 509
HW,FEED,3.261088212,100.19,338,20,33.322,1,2014,8,13,Sighting 107
HW,OTHER,4.534893634,126.97,NA,333,46.286,8,15,8,5,Sighting 407
HW,FEED,-1,NA,183,160,25,6.5,15,9,10,Sighting 502
HW,FEED,4.88623315,133.78,NA,167,22.5,11,15,7,18,Sighting 309
HW,FEED,7.095123994,157.61,173,NA,30.5,2,15,7,7,Sighting 212
FW,FEED,6.479733624,128.42,437,139,16.062,10,2014,8,28,Sighting 109
FW,FEED,NA,NA,596,107,86.444,7,2014,8,25,Sighting 113
HW,FEED,8.258352641,64.93,332,111.667,13,9.333,15,6,21,Sighting 206
Hw,other,4.923339513,106.17,496,NA,21.667,NA,2014,8,12,Sighting 120
HW,FEED,5.119453226,139.37,310,NA,NA,NA,15,7,7,Sighting 217
HW,OTHER,2.214387558,69.09,NA,NA,58.75,NA,15,6,28,Sighting 201
HW,OTHER,4.60329543,163.74,173,NA,67,NA,15,8,31,Sighting 504
HW,OTHER,6.1172292,137.23,311,328,25.909,13,15,7,5,Sighting 202
HW,OTHER,1.614584645,112.73,251.25,120.416,24.982,4.75,15,7,21,Sighting 303
HW,OTHER,NA,NA,NA,NA,43.857,NA,2014,8,25,Sighting 107
FinW,FEED,3.820782334,125.51,408,182,18.789,11,2014,8,12,Sighting 140
HW,FEED,7.820529234,95.06,329,134.5,14.836,10,15,6,9,Sighting 111
HW,FEED,6.087833711,95.1,399.5,114.5,15.444,14,2014,8,14,Sighting 101
FW,FEED,6.747812323,151.09,482.75,181.25,18.389,11.25,15,7,29,Sighting 307
HW,OTHER,5.115088999,118.52,NA,NA,NA,NA,15,7,14,Sighting 309
HW,OTHER,NA,NA,NA,NA,48.875,NA,2014,9,11,Sighting 209
HW,FEED,8.497466004,75.26,430,121.5,17.091,8.5,15,6,21,Sighting 209
HW,OTHER,5.383776915,125.01,111,NA,41.4,NA,2014,8,24,Sighting 122
HW,OTHER,6.64606072,88.59,NA,91,16.2,7,15,7,6,Sighting 201
HW,OTHER,6.783257022,76.05,NA,NA,39.5,NA,15,6,2,Sighting 110
HW,FEED,-1,NA,452,121,14,10,15,8,5,Sighting 408
HW,FEED,7.315968807,154.46,517,246.5,19.5,14,15,7,13,Sighting 302
HW,OTHER,3.867220181,129.25,260.5,31,21,2,15,7,23,Sighting 307
FinW,FEED,3.820782334,125.51,408,182,18.789,11,2014,8,12,Sighting 140
HW,OTHER,5.600907017,127.57,440,83,49.5,2,15,6,2,Sighting 104
HW,OTHER,7.389999189,134.65,191,96,28.833,4,15,8,2,Sighting 403
HW,FEED,4.889785812,156.16,419.5,201,21.091,13,15,7,1,Sighting 202
FW,FEED,6.626297794,105.87,366,189,16.273,12,2014,8,12,Sighting 109
HW,FEED,6.528043148,91.68,341,112.333,17.889,7,15,9,14,Sighting 501
HW,OTHER,3.444416501,156.91,NA,NA,31.333,8,2014,9,4,Sighting 204
HW,OTHER,7.022214753,60.13,NA,45,12.333,4,15,6,7,Sighting 102
HW,FEED,4.276425812,161.9,421,NA,19.857,NA,15,8,31,Sighting 505
HW,FEED,NA,NA,245,NA,17.5,NA,2014,9,5,Sighting 210
HW,FEED,6.421308723,147.49,NA,123,16.857,10,15,7,12,Sighting 302
HW,OTHER,7.369601666,93.22,271.666,51.667,25.334,3,2014,9,10,Sighting 211
HW,FEED,5.345861517,103.93,82.625,9.75,28.75,1.25,2014,9,7,Sighting 206
HW,OTHER,6.24090703,103.58,NA,126,17.143,8,15,8,17,Sighting 414
HW,FEED,6.221646272,133.51,280.5,188,19,NA,2014,8,28,Sighting 110
HW,FEED,7.34538892,154.66,NA,140,17.667,10,15,7,18,Sighting 304
HW,other stuff,NA,NA,90,86,28.375,6,15,8,19,Sighting 410
HW,FEED,4.191047711,79.75,351.5,113.167,24.167,4.833,15,8,15,Sighting 419
HW,FEED,7.710569315,112.68,NA,109,15,8,2014,9,11,Sighting 203
FW,OTHER,3.179885485,90.49,442,71,22.667,4,2014,8,14,Sighting 104
HW,FEED,NA,NA,441.667,106.333,13.773,8.667,15,6,10,Sighting 111
FW,FEED,5.022170507,118.51,395,221,NA,NA,2014,8,12,Sighting 141
HW,FEED,4.842002024,82.11,334,106,19.667,6.5,2014,8,25,Sighting 109
HW,FEED,3.708191765,88.34,643,88,17.2,6,15,8,16,Sighting 405
HW,OTHER,6.789783688,114.69,238,96,27.334,5,2014,9,11,Sighting 204
HW,OTHER,4.478348802,121.42,NA,NA,37.737,NA,15,8,12,Sighting 416
HW,FEED,6.701414271,92.39,412.5,166.5,21.597,9,2014,8,19,Sighting 102
FW,FEED,7.261732618,77.82,150,90.5,18.142,5.833,15,6,9,Sighting 105
HW,OTHER,6.005868313,78.28,369,131.75,21.562,6.25,15,6,9,Sighting 102
HW,OTHER,6.191783999,126.58,NA,160,33.714,4,15,7,7,Sighting 214
HW,FEED,5.119453226,139.37,310,NA,NA,NA,15,7,7,Sighting 217
HW,OTHER,3.066614692,155.19,501,269,19.444,14.5,15,7,18,Sighting 303
HW,OTHER,1.804593427,86.01,489,NA,19,NA,15,8,18,Sighting 402
HW,FEED,5.182644977,48.33,335.5,97,21,5,15,7,31,Sighting 301
HW,OTHER,-1,NA,NA,NA,NA,NA,15,8,6,Sighting 403
HW,FEED,-1,NA,486,266,18.615,16,2014,8,12,Sighting 116
HW,OTHER,6.1172292,137.23,311,328,25.909,13,15,7,5,Sighting 202
HW,FEED,6.421308723,147.49,NA,123,16.857,10,15,7,12,Sighting 302
HW,FEED,7.823818505,63.09,75.25,31,24,2,2014,8,19,Sighting 115
HW,OTHER,0.657934425,NA,371,148,30.556,7,15,6,21,Sighting 213
HW,FEED,8.255199372,83.34,203,93,19.667,5,2014,8,31,Sighting 102
HW,OTHER,6.77338319,116.56,280,83,13.333,7,15,8,15,Sighting 405
HW,OTHER,6.418607321,71.16,449.667,147,18.286,8.5,15,6,10,Sighting 103
HW,FEED,8.182070464,118.03,340,144,16.625,10,15,8,6,Sighting 404
FW,FEED,6.479733624,128.42,437,139,16.062,10,2014,8,28,Sighting 109
HW,OTHER,1.47345781,111.73,NA,94,43.25,3,15,8,15,Sighting 409
HW,FEED,4.889785812,156.16,419.5,201,21.091,13,15,7,1,Sighting 202
FW,OTHER,7.375002112,93.21,190.5,19,23.667,2,2014,9,10,Sighting 215
HW,FEED,6.722019019,138.54,533,226.5,18.328,13,15,8,5,Sighting 412
HW,FEED,5.344830655,101.96,442,178,24.571,8,2014,9,6,Sighting 213
HW,FEED,5.641276376,87.95,NA,96,30.333,4,15,6,8,Sighting 102
