"","country","ISO3","region_name","year","indicator_name","value","unit_of_measure"
"115","Belgium","BEL","Europe & Central Asia",2013,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.802709341049194,"%"
"116","Bulgaria","BGR","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.869588732719421,"%"
"117","Cyprus","CYP","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.96278440952301,"%"
"118","Czech Republic","CZE","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.934860944747925,"%"
"119","Denmark","DNK","Europe & Central Asia",2015,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.720640420913696,"%"
"120","Spain","ESP","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.917424619197845,"%"
"121","Estonia","EST","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.909255802631378,"%"
"122","Finland","FIN","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.884391188621521,"%"
"123","France","FRA","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.836543321609497,"%"
"124","United Kingdom","GBR","Europe & Central Asia",2013,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.741949498653412,"%"
"125","Greece","GRC","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.888385474681854,"%"
"126","Croatia","HRV","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.871197760105133,"%"
"127","Ireland","IRL","Europe & Central Asia",2015,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.59898853302002,"%"
"128","Iceland","ISL","Europe & Central Asia",2015,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.683217942714691,"%"
"129","Italy","ITA","Europe & Central Asia",2015,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.878134429454803,"%"
"130","Lithuania","LTU","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.897014260292053,"%"
"131","Luxembourg","LUX","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.896175920963287,"%"
"132","Latvia","LVA","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.881023406982422,"%"
"133","Malta","MLT","Middle East & North Africa",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.846557557582855,"%"
"134","Norway","NOR","Europe & Central Asia",2015,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.758761942386627,"%"
"135","Portugal","PRT","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.940420269966125,"%"
"136","Slovak Republic","SVK","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.898298263549805,"%"
"137","Slovenia","SVN","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.882425963878632,"%"
"138","Sweden","SWE","Europe & Central Asia",2014,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.744658231735229,"%"
"139","Aruba","ABW","Latin America & Caribbean",2006,"Mean cholesterol, adult population (mmol/L)",5.1,"mmol/L"
"140","American Samoa","ASM","East Asia & Pacific",2004,"Mean cholesterol, adult population (mmol/L)",4.7,"mmol/L"
"141","Belarus","BLR","Europe & Central Asia",2016,"Mean cholesterol, adult population (mmol/L)",4.7,"mmol/L"
"142","Bermuda","BMU","NAC",2014,"Mean cholesterol, adult population (mmol/L)",4.88492371347298,"mmol/L"
"143","Bhutan","BTN","South Asia",2014,"Mean cholesterol, adult population (mmol/L)",3.77812257564003,"mmol/L"
"144","Cabo Verde","CPV","Sub-Saharan Africa",2007,"Mean cholesterol, adult population (mmol/L)",4.2,"mmol/L"
"145","Dominica","DMA","Latin America & Caribbean",2008,"Mean cholesterol, adult population (mmol/L)",4.4,"mmol/L"
"146","Georgia","GEO","Europe & Central Asia",2016,"Mean cholesterol, adult population (mmol/L)",4.3,"mmol/L"
"147","Iran, Islamic Rep.","IRN","Middle East & North Africa",2011,"Mean cholesterol, adult population (mmol/L)",4.66976984742695,"mmol/L"
"148","Kenya","KEN","Sub-Saharan Africa",2015,"Mean cholesterol, adult population (mmol/L)",3.6,"mmol/L"
"149","Kiribati","KIR","East Asia & Pacific",2004,"Mean cholesterol, adult population (mmol/L)",4.6,"mmol/L"
"150","Kuwait","KWT","Middle East & North Africa",2014,"Mean cholesterol, adult population (mmol/L)",5,"mmol/L"
"151","Lebanon","LBN","Middle East & North Africa",2008,"Mean cholesterol, adult population (mmol/L)",5.54176364106543,"mmol/L"
"152","Libya","LBY","Middle East & North Africa",2009,"Mean cholesterol, adult population (mmol/L)",4.50995603827256,"mmol/L"
"153","St. Lucia","LCA","Latin America & Caribbean",2012,"Mean cholesterol, adult population (mmol/L)",4.3,"mmol/L"
"154","Marshall Islands","MHL","East Asia & Pacific",2002,"Mean cholesterol, adult population (mmol/L)",4.4,"mmol/L"
"155","French Polynesia","PYF","East Asia & Pacific",2010,"Mean cholesterol, adult population (mmol/L)",4.89526764934057,"mmol/L"
"156","Qatar","QAT","Middle East & North Africa",2012,"Mean cholesterol, adult population (mmol/L)",4.16084820274114,"mmol/L"
"157","Solomon Islands","SLB","East Asia & Pacific",2006,"Mean cholesterol, adult population (mmol/L)",4.6,"mmol/L"
"158","Eswatini","SWZ","Sub-Saharan Africa",2014,"Mean cholesterol, adult population (mmol/L)",3.7,"mmol/L"
"159","Tonga","TON","East Asia & Pacific",2012,"Mean cholesterol, adult population (mmol/L)",5.1,"mmol/L"
"160","Turkey","TUR","Europe & Central Asia",2017,"Mean cholesterol, adult population (mmol/L)",4.14791828290665,"mmol/L"
"161","Uzbekistan","UZB","Europe & Central Asia",2014,"Mean cholesterol, adult population (mmol/L)",4.8,"mmol/L"
"162","Vanuatu","VUT","East Asia & Pacific",2011,"Mean cholesterol, adult population (mmol/L)",4.9,"mmol/L"
"163","Samoa","WSM","East Asia & Pacific",2002,"Mean cholesterol, adult population (mmol/L)",4.2,"mmol/L"
"164","Peru","PER","Latin America & Caribbean",2016,"Treated for raised blood glucose or diabetes (% of adult population)",0.0219699777662754,"%"
"165","Belgium","BEL","Europe & Central Asia",2013,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.680343747138977,"%"
"166","Bulgaria","BGR","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.564571142196655,"%"
"167","Cyprus","CYP","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.632247865200043,"%"
"168","Czech Republic","CZE","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.71443384885788,"%"
"169","Denmark","DNK","Europe & Central Asia",2015,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.537417352199554,"%"
"170","Spain","ESP","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.792048513889313,"%"
"171","Estonia","EST","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.74556165933609,"%"
"172","Finland","FIN","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.627422630786896,"%"
"173","France","FRA","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.630456864833832,"%"
"174","United Kingdom","GBR","Europe & Central Asia",2013,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.497407466173172,"%"
"175","Greece","GRC","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.633122622966766,"%"
"176","Croatia","HRV","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.638998866081238,"%"
"177","Ireland","IRL","Europe & Central Asia",2015,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.583142876625061,"%"
"178","Iceland","ISL","Europe & Central Asia",2015,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.553626537322998,"%"
"179","Italy","ITA","Europe & Central Asia",2015,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.636548221111298,"%"
"180","Lithuania","LTU","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.64945912361145,"%"
"181","Luxembourg","LUX","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.784270048141479,"%"
"182","Latvia","LVA","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.659822344779968,"%"
"183","Malta","MLT","Middle East & North Africa",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.744366228580475,"%"
"184","Norway","NOR","Europe & Central Asia",2015,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.612530112266541,"%"
"185","Portugal","PRT","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.789388000965118,"%"
"186","Slovak Republic","SVK","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.701371729373932,"%"
"187","Slovenia","SVN","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.665955483913422,"%"
"188","Sweden","SWE","Europe & Central Asia",2014,"Blood sugar measured in last 5 years (% of population at risk of diabetes)",0.489991217851639,"%"
"189","Belarus","BLR","Europe & Central Asia",2016,"Mean fasting blood glucose, adult population (mmol/L)",4.7,"mmol/L"
"190","Bermuda","BMU","NAC",2014,"Mean fasting blood glucose, adult population (mmol/L)",5.106000005106,"mmol/L"
"191","Bhutan","BTN","South Asia",2014,"Mean fasting blood glucose, adult population (mmol/L)",4.9284000049284,"mmol/L"
"192","Iran, Islamic Rep.","IRN","Middle East & North Africa",2011,"Mean fasting blood glucose, adult population (mmol/L)",5.16261000516261,"mmol/L"
"193","Kenya","KEN","Sub-Saharan Africa",2015,"Mean fasting blood glucose, adult population (mmol/L)",4.6,"mmol/L"
"194","Kuwait","KWT","Middle East & North Africa",2014,"Mean fasting blood glucose, adult population (mmol/L)",5.7,"mmol/L"
"195","Lebanon","LBN","Middle East & North Africa",2008,"Mean fasting blood glucose, adult population (mmol/L)",5.772000005772,"mmol/L"
"196","Libya","LBY","Middle East & North Africa",2009,"Mean fasting blood glucose, adult population (mmol/L)",4.63425000463425,"mmol/L"
"197","St. Lucia","LCA","Latin America & Caribbean",2012,"Mean fasting blood glucose, adult population (mmol/L)",5.8053000058053,"mmol/L"
"198","French Polynesia","PYF","East Asia & Pacific",2010,"Mean fasting blood glucose, adult population (mmol/L)",4.2402000042402,"mmol/L"
"199","Qatar","QAT","Middle East & North Africa",2012,"Mean fasting blood glucose, adult population (mmol/L)",5.13375000513375,"mmol/L"
"200","Eswatini","SWZ","Sub-Saharan Africa",2014,"Mean fasting blood glucose, adult population (mmol/L)",5.1,"mmol/L"
"201","Tonga","TON","East Asia & Pacific",2012,"Mean fasting blood glucose, adult population (mmol/L)",6.5,"mmol/L"
"202","Turkey","TUR","Europe & Central Asia",2017,"Mean fasting blood glucose, adult population (mmol/L)",5.41125000541125,"mmol/L"
"203","Uzbekistan","UZB","Europe & Central Asia",2014,"Mean fasting blood glucose, adult population (mmol/L)",5,"mmol/L"
"204","Vanuatu","VUT","East Asia & Pacific",2011,"Mean fasting blood glucose, adult population (mmol/L)",5.7,"mmol/L"
"205","United Arab Emirates","ARE","Middle East & North Africa",2003,"Mean height in meters, adults (age 18+)",1.65064942836761,"Meter"
"206","Australia","AUS","East Asia & Pacific",2012,"Mean height in meters, adults (age 18+)",1.7142745256424,"Meter"
"207","Azerbaijan","AZE","Europe & Central Asia",2011,"Mean height in meters, adults (age 18+)",1.6617237329483,"Meter"
"208","Russian Federation","RUS","Europe & Central Asia",2014,"Mean height in meters, adults (age 18+)",1.67559695243835,"Meter"
"209","Aruba","ABW","Latin America & Caribbean",2006,"High blood pressure or being treated for high blood pressure (% of adult population)",0.407,"%"
"210","Armenia","ARM","Europe & Central Asia",2016,"High blood pressure or being treated for high blood pressure (% of adult population)",0.378,"%"
"211","American Samoa","ASM","East Asia & Pacific",2004,"High blood pressure or being treated for high blood pressure (% of adult population)",0.342,"%"
"212","Azerbaijan","AZE","Europe & Central Asia",2011,"High blood pressure or being treated for high blood pressure (% of adult population)",0.353223294019699,"%"
"213","Belarus","BLR","Europe & Central Asia",2016,"High blood pressure or being treated for high blood pressure (% of adult population)",0.449,"%"
"214","Bermuda","BMU","NAC",2014,"High blood pressure or being treated for high blood pressure (% of adult population)",0.334,"%"
"215","Bhutan","BTN","South Asia",2014,"High blood pressure or being treated for high blood pressure (% of adult population)",0.357,"%"
"216","Central African Republic","CAF","Sub-Saharan Africa",2010,"High blood pressure or being treated for high blood pressure (% of adult population)",0.345,"%"
"217","Cabo Verde","CPV","Sub-Saharan Africa",2007,"High blood pressure or being treated for high blood pressure (% of adult population)",0.387,"%"
"218","Cayman Islands","CYM","Latin America & Caribbean",2012,"High blood pressure or being treated for high blood pressure (% of adult population)",0.257,"%"
"219","Dominica","DMA","Latin America & Caribbean",2008,"High blood pressure or being treated for high blood pressure (% of adult population)",0.321,"%"
"220","Eritrea","ERI","Sub-Saharan Africa",2004,"High blood pressure or being treated for high blood pressure (% of adult population)",0.166,"%"
"221","Georgia","GEO","Europe & Central Asia",2016,"High blood pressure or being treated for high blood pressure (% of adult population)",0.377,"%"
"222","Grenada","GRD","Latin America & Caribbean",2010,"High blood pressure or being treated for high blood pressure (% of adult population)",0.381,"%"
"223","Iraq","IRQ","Middle East & North Africa",2015,"High blood pressure or being treated for high blood pressure (% of adult population)",0.356,"%"
"224","Kenya","KEN","Sub-Saharan Africa",2015,"High blood pressure or being treated for high blood pressure (% of adult population)",0.238,"%"
"225","Kiribati","KIR","East Asia & Pacific",2004,"High blood pressure or being treated for high blood pressure (% of adult population)",0.135,"%"
"226","St. Kitts and Nevis","KNA","Latin America & Caribbean",2007,"High blood pressure or being treated for high blood pressure (% of adult population)",0.35,"%"
"227","Kuwait","KWT","Middle East & North Africa",2014,"High blood pressure or being treated for high blood pressure (% of adult population)",0.251,"%"
"228","Lebanon","LBN","Middle East & North Africa",2008,"High blood pressure or being treated for high blood pressure (% of adult population)",0.795,"%"
"229","Libya","LBY","Middle East & North Africa",2009,"High blood pressure or being treated for high blood pressure (% of adult population)",0.406,"%"
